location,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,Population Vaccinated %
Gibraltar,32677.0,132810.0,42175.0,41465.0,127%
Qatar,2695131.0,7609178.0,2852178.0,2852178.0,106%
United Arab Emirates,9441138.0,24922054.0,9991089.0,9792266.0,104%
Brunei,449002.0,1293100.0,451149.0,446714.0,99%
Singapore,5637022.0,14727569.0,5137637.0,5093804.0,90%
